URL de l'article,Phrase d'accroche,Affiche générée,timestamp
,,,2025-07-01 22:05:54.974678
https://www.lemonde.fr/guerre-au-proche-orient/article/2025/06/29/gaza-l-armee-israelienne-ordonne-l-evacuation-de-quartiers-avant-une-nouvelle-offensive-contre-le-hamas_6616365_6325529.html,lisez le onde,.gradio/flagged/Affiche générée/26aef26dc3cda96c61b3/affiche_5be6003f.png,2025-07-01 22:06:17.966768
